number,indent,text,tags,notes,result,issue,comment
100,1,Авторизация,,,,,
101,1,Создание,,,,,
102,2,User,,,,,
103,3,Права наследуются от Default группы,,,,,
200,2,User group,,,,,
201,2,User role,,,,,
233,2,Folder,,,,,
104,2,Project,,,,,
106,2,Loadcase,,,,,
105,2,Simulation,,,,,
108,2,Storyboard,,,,,
107,2,Document,,,,,
109,2,DMU,,,,,
249,2,Part,,,,,
112,2,Chart,,,,,
113,2,Wiki,,,,,
114,2,S|Type,,,,,
115,2,Submodel,,,,,
194,3,Один файл,,,,,
116,3,Мультизагрузка,,,,,
117,2,C|Submodel,,,,,
118,3,Мультизагрузка,,,,,
119,2,MV,,,,,
121,2,Issue,,,,,
120,2,Issue config,,,,,
122,2,Project|T,,,,,
126,2,Cluster,,,,,
127,2,Tuning,,,,,
196,2,Solver,,,,,
197,2,Target group,,,,,
198,2,Target,,,,,
128,1,Клонирование,,,,,
129,2,Simulation,,,,,
131,2,Storyboard,,,,,
130,2,Document,,,,,
132,2,DMU,,,,,
133,2,Chart,,,,,
134,2,Wiki,,,,,
135,2,Submodel,,,,,
137,2,C|Submodel,,,,,
139,2,MV,,,,,
140,2,Issue config,,,,,
141,2,Issue,,,,,
142,2,Project|T,,,,,
146,1,"Редактирование (Name, path etc.)",,Для каждой сущности изменить пару параметров на выбор,,,
147,2,User,,,,,
247,3,Изменить параметры пользователя,,,,,
246,3,Добавить пользователя в группу и назначить роль,,,,,
204,2,User group,,,,,
205,2,User role,,,,,
150,2,Folder,,,,,
248,3,Изменить параметры папки,,,,,
151,3,Конвертация в Project,,,,,
148,2,Project,,,,,
152,2,Loadcase,,,,,
154,2,Storyboard,,,,,
149,2,Simulation,,,,,
175,2,Simulation with submodels,,,,,
176,3,Add,,,,,
177,4,New,,,,,
178,4,Existing,,,,,
153,2,Document,,,,,
155,2,DMU,,,,,
250,2,Part,,,,,
156,2,Chart,,,,,
157,2,Wiki,,,,,
158,2,S|Type,,,,,
159,2,Submodel,,,,,
160,2,C|Submodel,,,,,
161,2,MV,,,,,
179,2,Изменение субмоделей мультиварианта,,,,,
180,3,Add,,,,,
181,3,Matrix,,,,,
182,3,Variate,,,,,
183,4,Variable,,,,,
163,2,Issue,,,,,
162,2,Issue config,,,,,
164,2,Project|T,,,,,
165,2,Cluster,,,,,
166,2,Tuning,,,,,
167,2,Solver,,,,,
206,2,Target group,,,,,
207,2,Target,,,,,
168,1,Run,,,,,
242,2,Задачи запускаются на кластерах,,,,,
243,3,Bench,,,,,
244,3,Slurm,,,,,
245,3,Torque,,,,,
237,2,Data check,,,,,
169,2,Solving,,,,,
170,3,Results,,,,,
171,2,Solving with postproc,,,,,
172,3,Results,,,,,
173,2,Postproc after solving,,,,,
174,3,Results,,,,,
184,2,Доступна страница очереди (Queue),,,,,
186,2,Изменить задачу в статусе Waiting,,Изменяются только Bench задачи,,,
188,2,Остановить задачу в статусе Running,,,,,
189,3,Переходит в статус Terminated,,,,,
190,2,Submodel,,,,,
191,3,Parsing by meta,,,,,
239,2,DMU,,,,,
240,3,Просмотр модели,,,,,
241,3,После запуска DMU на парсинг статус в шапке страницы сменяется на PARSED,,,,,
